UNIT CODE,UNIT TITLE,LECTURER
COMP6011,Advanced Artificial Intelligence Research Topics,Kit Yan Chan
COMP2010,App Development for the Ecosystems - new unit David M?,David McMeekin
ISAD3000,Capstone Computing Project 1,Hannes Herrmann
ISAD3001,Capstone Computing Project 2,Hannes Herrmann
PRJM3000,Industry Capstone Computing Project,Hannes Herrmann
ISEC3006,Cyber Security Project 1,Hannes Herrmann
ISEC3007,Cyber Security Project 2,Hannes Herrmann
CNCO2000,Computer Communications,Ling Li
COMP1002,Data Structures and Algorithm,Mahbuba Afrin
COMP5008,Data Structures and Algorithm,David McMeekin
COMP3001,Design and Analysis of Algorithms,Sie Teng Soh
COMP5010,Advanced Algorithm Design,David McMeekin
